#p(bar),alt(km),temp(K),n_g(m-3),nu,scalehei(km),molmass(kg/mol)
1.0907448738,0.0,79.153666912,9.9808805703e+25,0.000499044028515,27.040963626261274,0.002703249551
0.89637841119,4.9178086918558925,73.35051965,8.8512561799e+25,0.00044256280899500003,25.05845669304424,0.0027032495501999997
0.73892487749,9.122845224314364,68.574254625,7.804694532099999e+25,0.0003902347266049999,23.426759590990628,0.0027032495503
0.61197403864,12.777726179931598,64.718736529,6.8488820334e+25,0.00034244410166999996,22.10961373251139,0.0027032495501999997
0.50489108097,16.161142739045594,61.415225474,5.954404929699999e+25,0.00029772024648499996,20.9810477692426,0.0027032495698
0.41385936962,19.443114465555432,58.728735617,5.1040962835e+25,0.00025520481417499997,20.063272566375925,0.0027032495676
0.33719136183,23.107997892021757,56.80248283,4.299578064799999e+25,0.00021497890323999994,19.683711162244425,0.0026650023725
0.27348010289,26.8721404311624,55.56328678,3.5649588724999998e+25,0.00017824794362499997,19.424886680678163,0.0026415978264
0.22115165611,30.564288914345607,54.6550718,2.9307342796000003e+25,0.00014653671398000002,19.153348127814063,0.0026352573377
0.17850696821,34.19989255403569,53.922976756,2.3977176065999997e+25,0.00011988588032999997,18.89508858246236,0.0026354949667
0.14393083526,37.90342245320375,53.409385848,1.9518793926999997e+25,9.759396963499998e-05,18.715121780078302,0.0026354949667
0.11607167214,41.642164099778206,53.043363483,1.5849366328e+25,7.924683164e-05,18.58686430198817,0.0026354949667
0.093776545346,45.6739103665815,53.121633605,1.2786142047000001e+25,6.393071023500001e-05,18.614290857176474,0.0026354949651
0.076071594787,49.77471028048895,53.342343746,1.0329210894000002e+25,5.164605447e-05,18.691629645178576,0.0026354949651
0.061827267797,53.80369452393548,53.495102987,8.371104133500001e+24,4.18555206675e-05,18.745157836051607,0.0026354949651
0.050493936428,58.0672458010149,53.929588898,6.7815479454e+24,3.3907739727000004e-05,18.89740554704704,0.0026354949651
0.041740463606,62.41457873555678,54.585159516,5.5385923555e+24,2.76929617775e-05,19.127123297288104,0.0026354949651
0.035163559733,66.38821410323526,55.161874165,4.6171133639e+24,2.30855668195e-05,19.329209217647865,0.0026354949651
0.029512591535,70.73835697265693,55.923824142,3.8223214099e+24,1.91116070495e-05,19.59620323737173,0.0026354949651
0.025561916185,75.3393081405471,57.280748651,3.2322239080999997e+24,1.6161119540499996e-05,20.071681602166965,0.0026354949651
0.021611240835,80.57368526605438,58.63767316,2.6694370999e+24,1.33471854995e-05,20.54716004648466,0.0026354949549
0.019102275848,85.55728032265316,60.364820891,2.2920174153e+24,1.14600870765e-05,21.152367923732257,0.0026354949531
0.017157538497,90.55214773816058,62.236859148,1.9967515579e+24,9.9837577895e-06,21.808346710629817,0.0026354949531
0.015212801147,95.9783552824942,64.108897406,1.718729765e+24,8.593648824999999e-06,22.46432538792128,0.002635494966
0.013268063797,101.94334411876456,65.980935663,1.4564842696e+24,7.282421348e-06,23.12030417160801,0.002635494966
